# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsReadSize,1730884202206000000,1730884262681000000,3408762
VFS.contentStorage.recordsStored,1730884202206000000,1730884262681000000,3
VFS.invertedFileNameIndex.requests,1730884202206000000,1730884262681000000,0
VFS.fileByIdCache.misses,1730884202206000000,1730884262681000000,1426
VFS.fileChildByName,1730884202206000000,1730884262681000000,250471
FileNameCache.totalMisses,1730884202206000000,1730884262681000000,10624
VFS.contentStorage.recordsStoredSize,1730884202206000000,1730884262681000000,43388
VFS.contentStorage.recordsUncompressedSize,1730884202206000000,1730884262681000000,105786
VFS.contentStorage.recordsReadDecompressed,1730884202206000000,1730884262681000000,67
VFS.fileByIdCache.hits,1730884202206000000,1730884262681000000,1
FileNameCache.queries,1730884202206000000,1730884262681000000,1691648
VFS.contentStorage.recordsDeduplicated,1730884202206000000,1730884262681000000,24
VFS.contentStorage.recordsDecompressionTimeUs,1730884202206000000,1730884262681000000,102984
VFS.contentStorage.recordsRead,1730884202206000000,1730884262681000000,269
VFS.contentStorage.recordsStoredCompressed,1730884202206000000,1730884262681000000,1
ReadAction.executionsCount,1730884202206000000,1730884262681000000,346021
FlushQueue.executionTimeMaxNs,1730884202206000000,1730884262681000000,0
AWTEventQueue.dispatchTime90PNs,1730884202206000000,1730884262681000000,0
FlushQueue.waitingTime90PNs,1730884202206000000,1730884262681000000,0
FlushQueue.tasksExecuted,1730884202206000000,1730884262681000000,0
FlushQueue.waitingTimeMaxNs,1730884202206000000,1730884262681000000,0
NonBlockingReadAction.failedExecutionsCount,1730884202206000000,1730884262681000000,24
NonBlockingReadAction.finalizedExecutionTimeUs,1730884202206000000,1730884262681000000,43991740
FlushQueue.waitingTimeAvgNs,1730884202206000000,1730884262681000000,0.0
FlushQueue.queueSizeMax,1730884202206000000,1730884262681000000,0
NonBlockingReadAction.failedExecutionTimeUs,1730884202206000000,1730884262681000000,514299
NonBlockingReadAction.finalizedExecutionsCount,1730884202206000000,1730884262681000000,13200
AWTEventQueue.dispatchTimeAvgNs,1730884202206000000,1730884262681000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1730884202206000000,1730884262681000000,32025865654
FlushQueue.executionTime90PNs,1730884202206000000,1730884262681000000,0
AWTEventQueue.dispatchTimeMaxNs,1730884202206000000,1730884262681000000,0
FlushQueue.queueSize90P,1730884202206000000,1730884262681000000,0
FlushQueue.queueSizeAvg,1730884202206000000,1730884262681000000,0.0
FlushQueue.executionTimeAvgNs,1730884202206000000,1730884262681000000,0.0
WriteAction.executionsCount,1730884202206000000,1730884262681000000,127
AWTEventQueue.eventsDispatched,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.instances.count,1730884202206000000,1730884262681000000,31
workspaceModel.sync.entities.ms,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1730884202206000000,1730884262681000000,0
jps.artifact.entities.serializer.save.entities.ms,1730884202206000000,1730884262681000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1730884202206000000,1730884262681000000,0
jps.project.serializers.load.ms,1730884202206000000,1730884262681000000,100
workspaceModel.mutableEntityStorage.replace.by.source.ms,1730884202206000000,1730884262681000000,70
jps.artifact.entities.serializer.load.entities.ms,1730884202206000000,1730884262681000000,0
jps.facet.change.listener.process.change.events.ms,1730884202206000000,1730884262681000000,1
jps.project.serializers.save.ms,1730884202206000000,1730884262681000000,4
jps.global.handle.changed.events.ms,1730884202206000000,1730884262681000000,0
jps.storage.jps.conf.reader.load.component.ms,1730884202206000000,1730884262681000000,19
workspaceModel.mutableEntityStorage.referrers.ms,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1730884202206000000,1730884262681000000,0
jps.reload.project.entities.ms,1730884202206000000,1730884262681000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1730884202206000000,1730884262681000000,0
workspaceModel.save.cache.to.file.ms,1730884202206000000,1730884262681000000,294
workspaceModel.global.apply.state.to.project.builder.ms,1730884202206000000,1730884262681000000,43
jps.load.project.to.empty.storage.ms,1730884202206000000,1730884262681000000,160
jps.facet.change.listener.before.change.events.ms,1730884202206000000,1730884262681000000,0
workspaceModel.load.cache.from.file.ms,1730884202206000000,1730884262681000000,924
workspaceModel.orphan.listener.update.ms,1730884202206000000,1730884262681000000,4
workspaceModel.mutableEntityStorage.modify.entity.ms,1730884202206000000,1730884262681000000,40
workspaceModel.global.updates.ms,1730884202206000000,1730884262681000000,102
workspaceModel.mutableEntityStorage.to.snapshot.ms,1730884202206000000,1730884262681000000,11
jps.library.entities.serializer.load.entities.ms,1730884202206000000,1730884262681000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1730884202206000000,1730884262681000000,1
jps.global.initialize.library.bridges.ms,1730884202206000000,1730884262681000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1730884202206000000,1730884262681000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1730884202206000000,1730884262681000000,2
jps.save.changed.project.entities.ms,1730884202206000000,1730884262681000000,4
workspaceModel.mutableEntityStorage.put.entity.ms,1730884202206000000,1730884262681000000,21
jps.module.iml.entities.serializer.load.entities.ms,1730884202206000000,1730884262681000000,68
workspaceModel.moduleManagerBridge.load.module.ms,1730884202206000000,1730884262681000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1730884202206000000,1730884262681000000,248
jps.global.get.libraries.ms,1730884202206000000,1730884262681000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1730884202206000000,1730884262681000000,0
jps.global.get.library.by.name.ms,1730884202206000000,1730884262681000000,0
jps.save.global.entities.ms,1730884202206000000,1730884262681000000,205
workspaceModel.global.apply.state.to.project.ms,1730884202206000000,1730884262681000000,170
jps.apply.loaded.storage.ms,1730884202206000000,1730884262681000000,67
workspaceModel.moduleBridgeLoader.loading.modules.ms,1730884202206000000,1730884262681000000,1019
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1730884202206000000,1730884262681000000,29
jps.module.iml.entities.serializer.save.entities.ms,1730884202206000000,1730884262681000000,0
workspaceModel.load.cache.metadata.from.file.ms,1730884202206000000,1730884262681000000,95
workspaceModel.mutableEntityStorage.resolve.ms,1730884202206000000,1730884262681000000,0
jps.library.entities.serializer.save.entities.ms,1730884202206000000,1730884262681000000,0
workspaceModel.moduleBridge.update.option.ms,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1730884202206000000,1730884262681000000,0
jps.load.initial.state.ms,1730884202206000000,1730884262681000000,187
jps.global.get.library.ms,1730884202206000000,1730884262681000000,0
jps.app.storage.content.reader.load.component.ms,1730884202206000000,1730884262681000000,63
jps.global.initialize.library.bridges.after.loading.ms,1730884202206000000,1730884262681000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1730884202206000000,1730884262681000000,0
jps.facet.change.listener.init.bridge.ms,1730884202206000000,1730884262681000000,0
jps.global.handle.before.change.events.ms,1730884202206000000,1730884262681000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1730884202206000000,1730884262681000000,79
jps.app.storage.content.writer.save.component.ms,1730884202206000000,1730884262681000000,48
workspaceModel.do.save.caches.ms,1730884202206000000,1730884262681000000,218
workspaceModel.moduleManagerBridge.get.modules.ms,1730884202206000000,1730884262681000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1730884202206000000,1730884262681000000,0
workspaceModel.moduleBridge.before.changed.ms,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1730884202206000000,1730884262681000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1730884202206000000,1730884262681000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1730884202206000000,1730884262681000000,3
workspaceModel.global.updates.count,1730884202206000000,1730884262681000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1730884202206000000,1730884262681000000,70
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1730884202206000000,1730884262681000000,1
workspaceModel.mutableEntityStorage.entities.ms,1730884202206000000,1730884262681000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1730884202206000000,1730884262681000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1730884202206000000,1730884262681000000,35331
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1730884202206000000,1730884262681000000,2334366
FilePageCacheLockFree.nativeBytesInUse,1730884202206000000,1730884262681000000,0
MappedFileStorage.totalBytesMapped,1730884202206000000,1730884262681000000,198443008
FilePageCacheLockFree.totalHeapBytesAllocated,1730884202206000000,1730884262681000000,0
FilePageCache.pageLoads,1730884202206000000,1730884262681000000,174
FilePageCacheLockFree.totalPagesReclaimed,1730884202206000000,1730884262681000000,0
DirectByteBufferAllocator.disposed,1730884202206000000,1730884262681000000,0
MappedFileStorage.totalPagesMapped,1730884202206000000,1730884262681000000,15
StorageLockContext.competingThreads.90P,1730884202206000000,1730884262681000000,0
FilePageCacheLockFree.heapBytesInUse,1730884202206000000,1730884262681000000,0
StreamlinedBlobStorage.recordsDeleted,1730884202206000000,1730884262681000000,14
FilePageCacheLockFree.totalPagesWriteMs,1730884202206000000,1730884262681000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1730884202206000000,1730884262681000000,858353
StorageLockContext.competingThreads.max,1730884202206000000,1730884262681000000,0
DirectByteBufferAllocator.hits,1730884202206000000,1730884262681000000,3
FilePageCache.uncachedFileAccess,1730884202206000000,1730884262681000000,243
FilePageCacheLockFree.totalPagesRequested,1730884202206000000,1730884262681000000,0
FilePageCache.maxCacheSizeInBytes,1730884202206000000,1730884262681000000,169943040
FilePageCache.pageLoadsAboveSizeThreshold,1730884202206000000,1730884262681000000,0
FilePageCacheLockFree.totalBytesRequested,1730884202206000000,1730884262681000000,0
FilePageCache.capacityInBytes,1730884202206000000,1730884262681000000,503316478
FilePageCacheLockFree.totalPagesRequestsMs,1730884202206000000,1730884262681000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1730884202206000000,1730884262681000000,0
FilePageCacheLockFree.totalPagesReadMs,1730884202206000000,1730884262681000000,0
FilePageCache.pageFastCacheHits,1730884202206000000,1730884262681000000,745523
DirectByteBufferAllocator.reclaimed,1730884202206000000,1730884262681000000,3
FilePageCache.totalPageDisposalsUs,1730884202206000000,1730884262681000000,3339
FilePageCacheLockFree.housekeeperTurnsDone,1730884202206000000,1730884262681000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1730884202206000000,1730884262681000000,0
