# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.load.project.to.empty.storage.ms,1730949833644000000,1730949893857000000,213
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1730949833644000000,1730949893857000000,2
jps.load.initial.state.ms,1730949833644000000,1730949893857000000,199
workspaceModel.moduleManagerBridge.build.module.graph.ms,1730949833644000000,1730949893857000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1730949833644000000,1730949893857000000,26
workspaceModel.moduleManagerBridge.load.all.modules.ms,1730949833644000000,1730949893857000000,85
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1730949833644000000,1730949893857000000,10
workspaceModel.mutableEntityStorage.entities.by.source.ms,1730949833644000000,1730949893857000000,0
jps.artifact.entities.serializer.save.entities.ms,1730949833644000000,1730949893857000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1730949833644000000,1730949893857000000,3
workspaceModel.orphan.listener.update.ms,1730949833644000000,1730949893857000000,2
workspaceModel.mutableEntityStorage.has.same.entities.ms,1730949833644000000,1730949893857000000,0
jps.reload.project.entities.ms,1730949833644000000,1730949893857000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1730949833644000000,1730949893857000000,0
jps.global.initialize.library.bridges.after.loading.ms,1730949833644000000,1730949893857000000,1
jps.library.entities.serializer.load.entities.ms,1730949833644000000,1730949893857000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1730949833644000000,1730949893857000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1730949833644000000,1730949893857000000,116
jps.global.get.library.by.name.ms,1730949833644000000,1730949893857000000,0
workspaceModel.global.apply.state.to.project.ms,1730949833644000000,1730949893857000000,89
jps.facet.change.listener.init.bridge.ms,1730949833644000000,1730949893857000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1730949833644000000,1730949893857000000,0
jps.project.serializers.save.ms,1730949833644000000,1730949893857000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1730949833644000000,1730949893857000000,1
jps.library.entities.serializer.save.entities.ms,1730949833644000000,1730949893857000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1730949833644000000,1730949893857000000,0
jps.facet.change.listener.process.change.events.ms,1730949833644000000,1730949893857000000,0
workspaceModel.global.updates.ms,1730949833644000000,1730949893857000000,21
jps.global.get.libraries.ms,1730949833644000000,1730949893857000000,0
jps.artifact.entities.serializer.load.entities.ms,1730949833644000000,1730949893857000000,0
jps.storage.jps.conf.reader.load.component.ms,1730949833644000000,1730949893857000000,11
jps.module.iml.entities.serializer.load.entities.ms,1730949833644000000,1730949893857000000,78
jps.module.iml.entities.serializer.save.entities.ms,1730949833644000000,1730949893857000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1730949833644000000,1730949893857000000,7
