# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.avg,1729594571095000000,1729594581765000000,0.0
FilePageCache.uncachedFileAccess,1729594571095000000,1729594581765000000,130
FilePageCacheLockFree.totalPagesRequestsMs,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalPagesAllocated,1729594571095000000,1729594581765000000,0
FilePageCache.maxRegisteredFiles,1729594571095000000,1729594581765000000,250
FilePageCacheLockFree.housekeeperTurnsDone,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.heapBytesInUse,1729594571095000000,1729594581765000000,0
StorageLockContext.competingThreads.max,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1729594571095000000,1729594581765000000,0
DirectByteBufferAllocator.misses,1729594571095000000,1729594581765000000,146
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1729594571095000000,1729594581765000000,41967616
FilePageCacheLockFree.totalBytesRead,1729594571095000000,1729594581765000000,0
FilePageCache.pageHits,1729594571095000000,1729594581765000000,35
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1729594571095000000,1729594581765000000,41967616
FilePageCache.totalPageDisposalsUs,1729594571095000000,1729594581765000000,1107
FileChannelInterruptsRetryer.totalRetriedAttempts,1729594571095000000,1729594581765000000,0
FilePageCache.capacityInBytes,1729594571095000000,1729594581765000000,503316478
DirectByteBufferAllocator.hits,1729594571095000000,1729594581765000000,9
FilePageCacheLockFree.housekeeperTurnsSkipped,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalBytesWritten,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalPagesHandedOver,1729594571095000000,1729594581765000000,0
StorageLockContext.competingThreads.90P,1729594571095000000,1729594581765000000,0
FilePageCache.totalPageLoadsUs,1729594571095000000,1729594581765000000,397029
FilePageCache.pageFastCacheHits,1729594571095000000,1729594581765000000,6678
DirectByteBufferAllocator.reclaimed,1729594571095000000,1729594581765000000,52
FilePageCacheLockFree.totalPagesRequested,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalBytesRequested,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalPagesReclaimed,1729594571095000000,1729594581765000000,0
FilePageCache.disposedBuffers,1729594571095000000,1729594581765000000,155
FilePageCache.maxCacheSizeInBytes,1729594571095000000,1729594581765000000,149970944
FilePageCacheLockFree.nativeBytesInUse,1729594571095000000,1729594581765000000,0
FilePageCache.pageLoads,1729594571095000000,1729594581765000000,155
FilePageCacheLockFree.totalPagesReadMs,1729594571095000000,1729594581765000000,0
DirectByteBufferAllocator.disposed,1729594571095000000,1729594581765000000,103
FilePageCacheLockFree.totalPagesWriteMs,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalPagesWritten,1729594571095000000,1729594581765000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1729594571095000000,1729594581765000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1729594571095000000,1729594581765000000,0
workspaceModel.loading.total.ms,1729594571095000000,1729594581765000000,312
workspaceModel.updates.precise.ms,1729594571095000000,1729594581765000000,30
workspaceModel.updates.count,1729594571095000000,1729594581765000000,3
workspaceModel.cachedValueWithParameters.calculated.count,1729594571095000000,1729594581765000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1729594571095000000,1729594581765000000,101
workspaceModel.pre.handlers.ms,1729594571095000000,1729594581765000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1729594571095000000,1729594581765000000,0
workspaceModel.on.changed.ms,1729594571095000000,1729594581765000000,9
workspaceModel.on.before.changed.ms,1729594571095000000,1729594581765000000,27
workspaceModel.cachedValue.total.get.count,1729594571095000000,1729594581765000000,134
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1729594571095000000,1729594581765000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1729594571095000000,1729594581765000000,13
workspaceModel.update.unloaded.entities.ms,1729594571095000000,1729594581765000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1729594571095000000,1729594581765000000,0
workspaceModel.workspaceFileIndexData.init.ms,1729594571095000000,1729594581765000000,73
workspaceModel.collect.changes.ms,1729594571095000000,1729594581765000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1729594571095000000,1729594581765000000,0
workspaceModel.replace.project.model.ms,1729594571095000000,1729594581765000000,0
workspaceModel.cachedValue.from.cache.count,1729594571095000000,1729594581765000000,129
workspaceModel.cachedValue.clear.count,1729594571095000000,1729594581765000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1729594571095000000,1729594581765000000,0
workspaceModel.check.recursive.update.ms,1729594571095000000,1729594581765000000,2
workspaceModel.cachedValueWithParameters.from.cache.count,1729594571095000000,1729594581765000000,0
workspaceModel.loading.from.cache.ms,1729594571095000000,1729594581765000000,294
workspaceModel.cachedValue.calculated.count,1729594571095000000,1729594581765000000,5
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1729594571095000000,1729594581765000000,1288
workspaceModel.cachedValueWithParameters.total.get.count,1729594571095000000,1729594581765000000,0
workspaceModel.full.replace.project.model.ms,1729594571095000000,1729594581765000000,0
workspaceModel.initializing.ms,1729594571095000000,1729594581765000000,3
workspaceModel.to.snapshot.ms,1729594571095000000,1729594581765000000,2
workspaceModel.workspaceFileIndexData.instances.count,1729594571095000000,1729594581765000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1729594571095000000,1729594581765000000,0
workspaceModel.init.bridges.ms,1729594571095000000,1729594581765000000,3
workspaceModel.cachedValueWithParameters.clear.count,1729594571095000000,1729594581765000000,0
workspaceModel.updates.ms,1729594571095000000,1729594581765000000,74
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1729594571095000000,1729594581765000000,0
jps.storage.jps.conf.reader.load.component.ms,1729594571095000000,1729594581765000000,6
workspaceModel.save.cache.to.file.ms,1729594571095000000,1729594581765000000,134
workspaceModel.sync.entities.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1729594571095000000,1729594581765000000,2
workspaceModel.do.save.caches.ms,1729594571095000000,1729594581765000000,122
workspaceModel.moduleBridge.facet.initialization.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1729594571095000000,1729594581765000000,23
workspaceModel.mutableEntityStorage.entities.ms,1729594571095000000,1729594581765000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1729594571095000000,1729594581765000000,0
jps.global.handle.changed.events.ms,1729594571095000000,1729594581765000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1729594571095000000,1729594581765000000,0
jps.load.initial.state.ms,1729594571095000000,1729594581765000000,152
jps.library.entities.serializer.save.entities.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1729594571095000000,1729594581765000000,1
workspaceModel.global.updates.ms,1729594571095000000,1729594581765000000,18
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1729594571095000000,1729594581765000000,0
workspaceModel.moduleBridge.update.option.ms,1729594571095000000,1729594581765000000,0
jps.facet.change.listener.process.change.events.ms,1729594571095000000,1729594581765000000,0
jps.module.iml.entities.serializer.load.entities.ms,1729594571095000000,1729594581765000000,0
jps.facet.change.listener.before.change.events.ms,1729594571095000000,1729594581765000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1729594571095000000,1729594581765000000,0
jps.facet.change.listener.init.bridge.ms,1729594571095000000,1729594581765000000,0
workspaceModel.global.updates.count,1729594571095000000,1729594581765000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1729594571095000000,1729594581765000000,765
workspaceModel.moduleBridge.before.changed.ms,1729594571095000000,1729594581765000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1729594571095000000,1729594581765000000,56
workspaceModel.mutableEntityStorage.modify.entity.ms,1729594571095000000,1729594581765000000,16
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1729594571095000000,1729594581765000000,0
jps.save.global.entities.ms,1729594571095000000,1729594581765000000,92
jps.global.get.library.by.name.ms,1729594571095000000,1729594581765000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1729594571095000000,1729594581765000000,0
jps.global.initialize.library.bridges.ms,1729594571095000000,1729594581765000000,1
jps.global.handle.before.change.events.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1729594571095000000,1729594581765000000,1
jps.global.initialize.library.bridges.after.loading.ms,1729594571095000000,1729594581765000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1729594571095000000,1729594581765000000,0
jps.app.storage.content.writer.save.component.ms,1729594571095000000,1729594581765000000,23
jps.artifact.entities.serializer.load.entities.ms,1729594571095000000,1729594581765000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1729594571095000000,1729594581765000000,5
