# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.ms,1729570980145000000,1729571040155000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1729570980145000000,1729571040155000000,14
workspaceModel.mutableEntityStorage.collect.changes.ms,1729570980145000000,1729571040155000000,2
jps.global.get.libraries.ms,1729570980145000000,1729571040155000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1729570980145000000,1729571040155000000,1
jps.modifiable.module.model.bridge.load.module.ms,1729570980145000000,1729571040155000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1729570980145000000,1729571040155000000,2
jps.reload.project.entities.ms,1729570980145000000,1729571040155000000,1
jps.facet.change.listener.init.bridge.ms,1729570980145000000,1729571040155000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1729570980145000000,1729571040155000000,111
jps.global.get.library.by.name.ms,1729570980145000000,1729571040155000000,0
jps.apply.loaded.storage.ms,1729570980145000000,1729571040155000000,61
jps.app.storage.content.writer.save.component.ms,1729570980145000000,1729571040155000000,20
workspaceModel.moduleManagerBridge.build.module.graph.ms,1729570980145000000,1729571040155000000,0
jps.storage.jps.conf.reader.load.component.ms,1729570980145000000,1729571040155000000,1
jps.modifiable.module.model.bridge.new.module.ms,1729570980145000000,1729571040155000000,50
workspaceModel.mutableEntityStorage.remove.entity.ms,1729570980145000000,1729571040155000000,0
jps.save.changed.project.entities.ms,1729570980145000000,1729571040155000000,37
workspaceModel.moduleBridge.facet.initialization.ms,1729570980145000000,1729571040155000000,0
jps.artifact.entities.serializer.load.entities.ms,1729570980145000000,1729571040155000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1729570980145000000,1729571040155000000,355
workspaceModel.moduleBridge.update.option.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1729570980145000000,1729571040155000000,0
jps.module.iml.entities.serializer.save.entities.ms,1729570980145000000,1729571040155000000,17
jps.load.initial.state.ms,1729570980145000000,1729571040155000000,74
jps.project.serializers.save.ms,1729570980145000000,1729571040155000000,37
workspaceModel.moduleManagerBridge.get.modules.ms,1729570980145000000,1729571040155000000,0
workspaceModel.global.updates.count,1729570980145000000,1729571040155000000,2
workspaceModel.mutableEntityStorage.instances.count,1729570980145000000,1729571040155000000,37
workspaceModel.delayed.project.synchronizer.sync.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1729570980145000000,1729571040155000000,0
jps.library.entities.serializer.load.entities.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1729570980145000000,1729571040155000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1729570980145000000,1729571040155000000,53
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1729570980145000000,1729571040155000000,20
jps.modifiable.module.model.bridge.disposing.ms,1729570980145000000,1729571040155000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1729570980145000000,1729571040155000000,1
jps.project.serializers.load.ms,1729570980145000000,1729571040155000000,4
jps.library.entities.serializer.save.entities.ms,1729570980145000000,1729571040155000000,0
workspaceModel.do.save.caches.ms,1729570980145000000,1729571040155000000,145
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1729570980145000000,1729571040155000000,0
jps.global.get.library.ms,1729570980145000000,1729571040155000000,0
jps.modifiable.module.model.bridge.renaming.ms,1729570980145000000,1729571040155000000,0
workspaceModel.orphan.listener.update.ms,1729570980145000000,1729571040155000000,3
workspaceModel.global.apply.state.to.project.ms,1729570980145000000,1729571040155000000,13
