# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationAvgMs,1712202491368000000,1712202551398000000,0.0
Indexes.allKeys.lookupDuration90PMs,1712202491368000000,1712202551398000000,0.0
Indexes.stubs.lookupDurationMaxMs,1712202491368000000,1712202551398000000,0.0
Indexes.entries.lookupDuration90PMs,1712202491368000000,1712202551398000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1712202491368000000,1712202551398000000,0.0
Indexes.stubs.lookupDurationAvgMs,1712202491368000000,1712202551398000000,0.0
IndexesFlusher.totalFlushes,1712202491368000000,1712202551398000000,59
Indexes.stubs.lookupDuration90PMs,1712202491368000000,1712202551398000000,0.0
Indexes.entries.lookups,1712202491368000000,1712202551398000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1712202491368000000,1712202551398000000,0.0
Indexes.stubs.lookups,1712202491368000000,1712202551398000000,0.0
Indexes.entries.lookupDurationMaxMs,1712202491368000000,1712202551398000000,0.0
IndexesFlusher.totalFlushingTimeUs,1712202491368000000,1712202551398000000,117469
IndexesFlusher.totalFlushesRetried,1712202491368000000,1712202551398000000,1
IndexesFlusher.totalContentionQuotaSpent,1712202491368000000,1712202551398000000,1
Indexes.allKeys.lookups,1712202491368000000,1712202551398000000,0.0
FileNameCache.totalMisses,1712202491368000000,1712202551398000000,5666
FileNameCache.queries,1712202491368000000,1712202551398000000,445774
FilePageCacheLockFree.totalPagesWritten,1712202491368000000,1712202551398000000,0
DirectByteBufferAllocator.disposed,1712202491368000000,1712202551398000000,0
DirectByteBufferAllocator.hits,1712202491368000000,1712202551398000000,3
StreamlinedBlobStorage.recordsDeleted,1712202491368000000,1712202551398000000,29
StorageLockContext.competingThreads.avg,1712202491368000000,1712202551398000000,0.0
MappedFileStorage.totalPagesMapped,1712202491368000000,1712202551398000000,12
StorageLockContext.competingThreads.max,1712202491368000000,1712202551398000000,0
MappedFileStorage.totalBytesMapped,1712202491368000000,1712202551398000000,119799808
FilePageCacheLockFree.totalPagesHandedOver,1712202491368000000,1712202551398000000,0
StorageLockContext.competingThreads.90P,1712202491368000000,1712202551398000000,0
FilePageCache.pageHits,1712202491368000000,1712202551398000000,1
FilePageCacheLockFree.totalPagesWriteMs,1712202491368000000,1712202551398000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1712202491368000000,1712202551398000000,0
DirectByteBufferAllocator.reclaimed,1712202491368000000,1712202551398000000,3
DirectByteBufferAllocator.misses,1712202491368000000,1712202551398000000,131
FilePageCache.uncachedFileAccess,1712202491368000000,1712202551398000000,76
FileChannelInterruptsRetryer.totalRetriedAttempts,1712202491368000000,1712202551398000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1712202491368000000,1712202551398000000,155648
FilePageCacheLockFree.heapBytesInUse,1712202491368000000,1712202551398000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1712202491368000000,1712202551398000000,120
FilePageCacheLockFree.housekeeperTurnsSkipped,1712202491368000000,1712202551398000000,52466
FilePageCacheLockFree.totalNativeBytesReclaimed,1712202491368000000,1712202551398000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1712202491368000000,1712202551398000000,0
FilePageCache.maxCacheSizeInBytes,1712202491368000000,1712202551398000000,110157824
FilePageCacheLockFree.nativeBytesInUse,1712202491368000000,1712202551398000000,155648
FilePageCacheLockFree.totalPagesRequested,1712202491368000000,1712202551398000000,75
FilePageCacheLockFree.totalHeapBytesAllocated,1712202491368000000,1712202551398000000,0
