# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
OS.loadAverage,1712569008728000000,1712569068739000000,3.56982421875
JVM.threadCount,1712569008728000000,1712569068739000000,122
JVM.maxHeapBytes,1712569008728000000,1712569068739000000,2147483648
JVM.GC.collectionTimesMs,1712569008728000000,1712569068739000000,2180
JVM.maxNativeBytes,1712569008728000000,1712569068739000000,-1
JVM.usedNativeBytes,1712569008728000000,1712569068739000000,340742920
JVM.totalBytesAllocated,1712569008728000000,1712569068739000000,4055006000
JVM.GC.collections,1712569008728000000,1712569068739000000,27
JVM.totalCpuTimeMs,1712569008728000000,1712569068739000000,116780
JVM.usedHeapBytes,1712569008728000000,1712569068739000000,742916096
jps.save.changed.project.entities.ms,1712569008728000000,1712569068739000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1712569008728000000,1712569068739000000,0
workspaceModel.global.updates.ms,1712569008728000000,1712569068739000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1712569008728000000,1712569068739000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1712569008728000000,1712569068739000000,0
workspaceModel.mutableEntityStorage.entities.ms,1712569008728000000,1712569068739000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1712569008728000000,1712569068739000000,53
workspaceModel.global.apply.state.to.project.ms,1712569008728000000,1712569068739000000,45
workspaceModel.moduleManagerBridge.get.modules.ms,1712569008728000000,1712569068739000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1712569008728000000,1712569068739000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1712569008728000000,1712569068739000000,0
jps.project.serializers.load.ms,1712569008728000000,1712569068739000000,1153
jps.apply.loaded.storage.ms,1712569008728000000,1712569068739000000,1125
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1712569008728000000,1712569068739000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1712569008728000000,1712569068739000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1712569008728000000,1712569068739000000,20
jps.artifact.entities.serializer.load.entities.ms,1712569008728000000,1712569068739000000,0
