# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeAvgNs,1711447468932000000,1711447528942000000,6.3121077634584084E7
NonBlockingReadAction.failedExecutionsCount,1711447468932000000,1711447528942000000,4
NonBlockingReadAction.failedExecutionTimeUs,1711447468932000000,1711447528942000000,32606
FlushQueue.waitingTime90PNs,1711447468932000000,1711447528942000000,224395263
FlushQueue.executionTimeAvgNs,1711447468932000000,1711447528942000000,40102.56704792686
AWTEventQueue.dispatchTimeTotalNS,1711447468932000000,1711447528942000000,14360722135
FlushQueue.waitingTimeMaxNs,1711447468932000000,1711447528942000000,742391807
NonBlockingReadAction.finalizedExecutionTimeUs,1711447468932000000,1711447528942000000,1235403
FlushQueue.queueSizeMax,1711447468932000000,1711447528942000000,3439
FlushQueue.queueSizeAvg,1711447468932000000,1711447528942000000,1580.353989527241
AWTEventQueue.eventsDispatched,1711447468932000000,1711447528942000000,6972
AWTEventQueue.dispatchTime90PNs,1711447468932000000,1711447528942000000,5570559
FlushQueue.queueSize90P,1711447468932000000,1711447528942000000,3311
NonBlockingReadAction.finalizedExecutionsCount,1711447468932000000,1711447528942000000,29
WriteAction.executionsCount,1711447468932000000,1711447528942000000,8
AWTEventQueue.dispatchTimeMaxNs,1711447468932000000,1711447528942000000,650117119
FlushQueue.tasksExecuted,1711447468932000000,1711447528942000000,175121
AWTEventQueue.dispatchTimeAvgNs,1711447468932000000,1711447528942000000,2056828.580608147
ReadAction.executionsCount,1711447468932000000,1711447528942000000,579672
FlushQueue.executionTimeMaxNs,1711447468932000000,1711447528942000000,809500671
FlushQueue.executionTime90PNs,1711447468932000000,1711447528942000000,25727
workspaceModel.initializing.ms,1711447468932000000,1711447528942000000,2
workspaceModel.replace.project.model.ms,1711447468932000000,1711447528942000000,0
workspaceModel.pre.handlers.ms,1711447468932000000,1711447528942000000,0
workspaceModel.init.bridges.ms,1711447468932000000,1711447528942000000,1
workspaceModel.updates.ms,1711447468932000000,1711447528942000000,69
workspaceModel.to.snapshot.ms,1711447468932000000,1711447528942000000,2
workspaceModel.check.recursive.update.ms,1711447468932000000,1711447528942000000,1
workspaceModel.updates.precise.ms,1711447468932000000,1711447528942000000,33
workspaceModel.updates.count,1711447468932000000,1711447528942000000,3
workspaceModel.collect.changes.ms,1711447468932000000,1711447528942000000,0
workspaceModel.loading.total.ms,1711447468932000000,1711447528942000000,464
workspaceModel.loading.from.cache.ms,1711447468932000000,1711447528942000000,415
workspaceModel.update.unloaded.entities.ms,1711447468932000000,1711447528942000000,0
FileNameCache.totalMisses,1711447468932000000,1711447528942000000,5724
FileNameCache.queries,1711447468932000000,1711447528942000000,2013067
StreamlinedBlobStorage.recordsAllocated,1711447468932000000,1711447528942000000,55280
FilePageCacheLockFree.totalPagesReclaimed,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.totalPagesWriteMs,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.totalBytesRead,1711447468932000000,1711447528942000000,89272
FilePageCache.uncachedFileAccess,1711447468932000000,1711447528942000000,80
FilePageCacheLockFree.totalNativeBytesAllocated,1711447468932000000,1711447528942000000,90112
FilePageCacheLockFree.totalBytesRequested,1711447468932000000,1711447528942000000,434176
FilePageCache.pageLoadsAboveSizeThreshold,1711447468932000000,1711447528942000000,0
StreamlinedBlobStorage.recordsRelocated,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.nativeBytesInUse,1711447468932000000,1711447528942000000,90112
StorageLockContext.competingThreads.max,1711447468932000000,1711447528942000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1711447468932000000,1711447528942000000,122822656
FilePageCacheLockFree.totalNativeBytesReclaimed,1711447468932000000,1711447528942000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1711447468932000000,1711447528942000000,3879587
FilePageCache.capacityInBytes,1711447468932000000,1711447528942000000,503316478
StorageLockContext.competingThreads.90P,1711447468932000000,1711447528942000000,0
DirectByteBufferAllocator.hits,1711447468932000000,1711447528942000000,3
MappedFileStorage.storages,1711447468932000000,1711447528942000000,16
FilePageCache.maxCacheSizeInBytes,1711447468932000000,1711447528942000000,122732544
StreamlinedBlobStorage.recordsDeleted,1711447468932000000,1711447528942000000,29
DirectByteBufferAllocator.disposed,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.totalPagesAllocated,1711447468932000000,1711447528942000000,11
DirectByteBufferAllocator.misses,1711447468932000000,1711447528942000000,134
FilePageCacheLockFree.totalBytesWritten,1711447468932000000,1711447528942000000,0
FilePageCache.totalPageDisposalsUs,1711447468932000000,1711447528942000000,855
FilePageCacheLockFree.housekeeperTurnsDone,1711447468932000000,1711447528942000000,120
StorageLockContext.competingThreads.avg,1711447468932000000,1711447528942000000,0.025210084033613446
FilePageCache.pageLoads,1711447468932000000,1711447528942000000,126
FilePageCacheLockFree.totalPagesHandedOver,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1711447468932000000,1711447528942000000,12
FilePageCacheLockFree.totalPageAllocationsWaited,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1711447468932000000,1711447528942000000,53336
FilePageCacheLockFree.housekeeperTimeSpentMs,1711447468932000000,1711447528942000000,414
FilePageCacheLockFree.totalPagesReadMs,1711447468932000000,1711447528942000000,9
FilePageCacheLockFree.totalPagesRequested,1711447468932000000,1711447528942000000,53
FilePageCache.pageFastCacheHits,1711447468932000000,1711447528942000000,4762
FilePageCache.maxRegisteredFiles,1711447468932000000,1711447528942000000,255
MappedFileStorage.totalPagesMapped,1711447468932000000,1711447528942000000,16
FilePageCacheLockFree.totalHeapBytesReclaimed,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.heapBytesInUse,1711447468932000000,1711447528942000000,0
FilePageCache.totalPageLoadsUs,1711447468932000000,1711447528942000000,402138
FilePageCache.pageHits,1711447468932000000,1711447528942000000,1
FilePageCacheLockFree.totalPagesWritten,1711447468932000000,1711447528942000000,0
DirectByteBufferAllocator.reclaimed,1711447468932000000,1711447528942000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1711447468932000000,1711447528942000000,1240629
FileChannelInterruptsRetryer.totalRetriedAttempts,1711447468932000000,1711447528942000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1711447468932000000,1711447528942000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1711447468932000000,1711447528942000000,0
FilePageCache.disposedBuffers,1711447468932000000,1711447528942000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1711447468932000000,1711447528942000000,2967
MappedFileStorage.totalBytesMapped,1711447468932000000,1711447528942000000,136577024
IndexesFlusher.totalContentionQuotaSpent,1711447468932000000,1711447528942000000,0
IndexesFlusher.totalFlushes,1711447468932000000,1711447528942000000,59
IndexesFlusher.totalFlushesRetried,1711447468932000000,1711447528942000000,0
IndexesFlusher.totalFlushingTimeUs,1711447468932000000,1711447528942000000,116324
jps.facet.change.listener.before.change.events.ms,1711447468932000000,1711447528942000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1711447468932000000,1711447528942000000,0
workspaceModel.global.updates.ms,1711447468932000000,1711447528942000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1711447468932000000,1711447528942000000,0
jps.global.handle.changed.events.ms,1711447468932000000,1711447528942000000,0
jps.global.get.library.ms,1711447468932000000,1711447528942000000,0
jps.project.serializers.load.ms,1711447468932000000,1711447528942000000,97
workspaceModel.moduleManagerBridge.create.module.instance.ms,1711447468932000000,1711447528942000000,0
jps.module.iml.entities.serializer.save.entities.ms,1711447468932000000,1711447528942000000,0
jps.project.serializers.save.ms,1711447468932000000,1711447528942000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1711447468932000000,1711447528942000000,1
workspaceModel.moduleBridge.update.option.ms,1711447468932000000,1711447528942000000,0
workspaceModel.load.cache.from.file.ms,1711447468932000000,1711447528942000000,409
workspaceModel.mutableEntityStorage.has.same.entities.ms,1711447468932000000,1711447528942000000,0
workspaceModel.moduleBridge.before.changed.ms,1711447468932000000,1711447528942000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1711447468932000000,1711447528942000000,0
jps.artifact.entities.serializer.save.entities.ms,1711447468932000000,1711447528942000000,0
jps.facet.change.listener.init.bridge.ms,1711447468932000000,1711447528942000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1711447468932000000,1711447528942000000,58
workspaceModel.mutableEntityStorage.put.entity.ms,1711447468932000000,1711447528942000000,27
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1711447468932000000,1711447528942000000,0
jps.library.entities.serializer.load.entities.ms,1711447468932000000,1711447528942000000,0
jps.global.initialize.library.bridges.ms,1711447468932000000,1711447528942000000,1
jps.save.changed.project.entities.ms,1711447468932000000,1711447528942000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1711447468932000000,1711447528942000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1711447468932000000,1711447528942000000,0
jps.app.storage.content.writer.save.component.ms,1711447468932000000,1711447528942000000,0
jps.load.project.to.empty.storage.ms,1711447468932000000,1711447528942000000,101
jps.apply.loaded.storage.ms,1711447468932000000,1711447528942000000,60
workspaceModel.global.updates.count,1711447468932000000,1711447528942000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1711447468932000000,1711447528942000000,18
workspaceModel.global.apply.state.to.project.ms,1711447468932000000,1711447528942000000,33
workspaceModel.mutableEntityStorage.add.diff.ms,1711447468932000000,1711447528942000000,27
jps.module.iml.entities.serializer.load.entities.ms,1711447468932000000,1711447528942000000,27
workspaceModel.moduleBridgeLoader.loading.modules.ms,1711447468932000000,1711447528942000000,578
jps.global.initialize.library.bridges.after.loading.ms,1711447468932000000,1711447528942000000,0
jps.global.get.libraries.ms,1711447468932000000,1711447528942000000,0
jps.facet.change.listener.process.change.events.ms,1711447468932000000,1711447528942000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1711447468932000000,1711447528942000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1711447468932000000,1711447528942000000,0
jps.global.handle.before.change.events.ms,1711447468932000000,1711447528942000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1711447468932000000,1711447528942000000,168
workspaceModel.moduleManagerBridge.get.modules.ms,1711447468932000000,1711447528942000000,0
jps.artifact.entities.serializer.load.entities.ms,1711447468932000000,1711447528942000000,0
jps.load.initial.state.ms,1711447468932000000,1711447528942000000,10
workspaceModel.mutableEntityStorage.to.snapshot.ms,1711447468932000000,1711447528942000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1711447468932000000,1711447528942000000,5
workspaceModel.moduleManagerBridge.build.module.graph.ms,1711447468932000000,1711447528942000000,0
workspaceModel.save.cache.to.file.ms,1711447468932000000,1711447528942000000,42
workspaceModel.orphan.listener.update.ms,1711447468932000000,1711447528942000000,3
jps.app.storage.content.reader.load.component.ms,1711447468932000000,1711447528942000000,1
jps.global.get.library.by.name.ms,1711447468932000000,1711447528942000000,0
jps.save.global.entities.ms,1711447468932000000,1711447528942000000,1
workspaceModel.load.cache.metadata.from.file.ms,1711447468932000000,1711447528942000000,41
jps.storage.jps.conf.reader.load.component.ms,1711447468932000000,1711447528942000000,8
jps.reload.project.entities.ms,1711447468932000000,1711447528942000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1711447468932000000,1711447528942000000,0
workspaceModel.mutableEntityStorage.entities.ms,1711447468932000000,1711447528942000000,0
workspaceModel.sync.entities.ms,1711447468932000000,1711447528942000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1711447468932000000,1711447528942000000,0
jps.library.entities.serializer.save.entities.ms,1711447468932000000,1711447528942000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1711447468932000000,1711447528942000000,52
workspaceModel.mutableEntityStorage.referrers.ms,1711447468932000000,1711447528942000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1711447468932000000,1711447528942000000,0
JVM.GC.collectionTimesMs,1711447468932000000,1711447528942000000,464
JVM.usedNativeBytes,1711447468932000000,1711447528942000000,313609640
JVM.totalCpuTimeMs,1711447468932000000,1711447528942000000,102060
JVM.maxHeapBytes,1711447468932000000,1711447528942000000,2147483648
OS.loadAverage,1711447468932000000,1711447528942000000,3.1669921875
JVM.maxNativeBytes,1711447468932000000,1711447528942000000,-1
JVM.GC.collections,1711447468932000000,1711447528942000000,26
JVM.threadCount,1711447468932000000,1711447528942000000,122
JVM.totalBytesAllocated,1711447468932000000,1711447528942000000,2856085992
JVM.usedHeapBytes,1711447468932000000,1711447528942000000,410689536
FlushQueue.waitingTimeAvgNs,1711447528942000000,1711447588939000000,1296453.0904793316
NonBlockingReadAction.failedExecutionsCount,1711447528942000000,1711447588939000000,3
NonBlockingReadAction.failedExecutionTimeUs,1711447528942000000,1711447588939000000,136561
FlushQueue.waitingTime90PNs,1711447528942000000,1711447588939000000,3014655
FlushQueue.executionTimeAvgNs,1711447528942000000,1711447588939000000,183656.02154793317
AWTEventQueue.dispatchTimeTotalNS,1711447528942000000,1711447588939000000,6432497890
FlushQueue.waitingTimeMaxNs,1711447528942000000,1711447588939000000,141557759
NonBlockingReadAction.finalizedExecutionTimeUs,1711447528942000000,1711447588939000000,685050
FlushQueue.queueSizeMax,1711447528942000000,1711447588939000000,25
FlushQueue.queueSizeAvg,1711447528942000000,1711447588939000000,2.057937554969217
AWTEventQueue.eventsDispatched,1711447528942000000,1711447588939000000,7156
AWTEventQueue.dispatchTime90PNs,1711447528942000000,1711447588939000000,1933311
FlushQueue.queueSize90P,1711447528942000000,1711447588939000000,6
NonBlockingReadAction.finalizedExecutionsCount,1711447528942000000,1711447588939000000,410
WriteAction.executionsCount,1711447528942000000,1711447588939000000,204
AWTEventQueue.dispatchTimeMaxNs,1711447528942000000,1711447588939000000,144703487
FlushQueue.tasksExecuted,1711447528942000000,1711447588939000000,9096
AWTEventQueue.dispatchTimeAvgNs,1711447528942000000,1711447588939000000,895165.33705981
ReadAction.executionsCount,1711447528942000000,1711447588939000000,132572
FlushQueue.executionTimeMaxNs,1711447528942000000,1711447588939000000,87031807
FlushQueue.executionTime90PNs,1711447528942000000,1711447588939000000,254975
workspaceModel.initializing.ms,1711447528942000000,1711447588939000000,2
workspaceModel.replace.project.model.ms,1711447528942000000,1711447588939000000,0
workspaceModel.pre.handlers.ms,1711447528942000000,1711447588939000000,0
workspaceModel.init.bridges.ms,1711447528942000000,1711447588939000000,1
workspaceModel.updates.ms,1711447528942000000,1711447588939000000,69
workspaceModel.to.snapshot.ms,1711447528942000000,1711447588939000000,2
workspaceModel.check.recursive.update.ms,1711447528942000000,1711447588939000000,1
workspaceModel.updates.precise.ms,1711447528942000000,1711447588939000000,33
workspaceModel.updates.count,1711447528942000000,1711447588939000000,3
workspaceModel.collect.changes.ms,1711447528942000000,1711447588939000000,0
workspaceModel.loading.total.ms,1711447528942000000,1711447588939000000,464
workspaceModel.loading.from.cache.ms,1711447528942000000,1711447588939000000,415
workspaceModel.update.unloaded.entities.ms,1711447528942000000,1711447588939000000,0
FileNameCache.totalMisses,1711447528942000000,1711447588939000000,76
FileNameCache.queries,1711447528942000000,1711447588939000000,574650
sorting.time.13,1711447528942000000,1711447588939000000,1
sorting.items.5,1711447528942000000,1711447588939000000,13
sorting.time.11,1711447528942000000,1711447588939000000,12
sorting.items.1,1711447528942000000,1711447588939000000,14
sorting.time.10,1711447528942000000,1711447588939000000,4
sorting.items.6,1711447528942000000,1711447588939000000,70
sorting.items.10,1711447528942000000,1711447588939000000,33
model.items.7,1711447528942000000,1711447588939000000,47
model.time.1,1711447528942000000,1711447588939000000,2
sorting.time.1,1711447528942000000,1711447588939000000,5
reordered.by.ml,1711447528942000000,1711447588939000000,48
model.items.9,1711447528942000000,1711447588939000000,8
sorting.items.8,1711447528942000000,1711447588939000000,1
model.items.3,1711447528942000000,1711447588939000000,2
model.items.13,1711447528942000000,1711447588939000000,1
sorting.items.0,1711447528942000000,1711447588939000000,87
sorting.items.4,1711447528942000000,1711447588939000000,2
sorting.time.0,1711447528942000000,1711447588939000000,36
sorting.items.7,1711447528942000000,1711447588939000000,47
sorting.time.6,1711447528942000000,1711447588939000000,20
model.items.4,1711447528942000000,1711447588939000000,2
model.items.0,1711447528942000000,1711447588939000000,87
model.items.10,1711447528942000000,1711447588939000000,33
model.items.5,1711447528942000000,1711447588939000000,13
sorting.time.9,1711447528942000000,1711447588939000000,2
sorting.time.8,1711447528942000000,1711447588939000000,2
sorting.time.3,1711447528942000000,1711447588939000000,4
model.items.12,1711447528942000000,1711447588939000000,15
model.items.11,1711447528942000000,1711447588939000000,74
sorting.items.9,1711447528942000000,1711447588939000000,8
sorting.items.13,1711447528942000000,1711447588939000000,1
model.items.6,1711447528942000000,1711447588939000000,70
sorting.items.2,1711447528942000000,1711447588939000000,11
sorting.time.12,1711447528942000000,1711447588939000000,3
model.time.6,1711447528942000000,1711447588939000000,9
sorting.time.7,1711447528942000000,1711447588939000000,9
model.time.2,1711447528942000000,1711447588939000000,1
sorting.items.11,1711447528942000000,1711447588939000000,74
sorting.items.3,1711447528942000000,1711447588939000000,2
model.items.2,1711447528942000000,1711447588939000000,11
model.time.0,1711447528942000000,1711447588939000000,11
model.items.8,1711447528942000000,1711447588939000000,1
sorting.time.2,1711447528942000000,1711447588939000000,4
model.items.1,1711447528942000000,1711447588939000000,14
model.time.10,1711447528942000000,1711447588939000000,1
sorting.time.5,1711447528942000000,1711447588939000000,4
model.time.7,1711447528942000000,1711447588939000000,4
sorting.items.12,1711447528942000000,1711447588939000000,15
sorting.time.4,1711447528942000000,1711447588939000000,1
model.time.12,1711447528942000000,1711447588939000000,1
model.time.11,1711447528942000000,1711447588939000000,5
StreamlinedBlobStorage.recordsAllocated,1711447528942000000,1711447588939000000,0
FilePageCacheLockFree.totalPagesReclaimed,1711447528942000000,1711447588939000000,0
FilePageCacheLockFree.totalPagesWriteMs,1711447528942000000,1711447588939000000,0
FilePageCacheLockFree.totalBytesRead,1711447528942000000,1711447588939000000,35342
FilePageCache.uncachedFileAccess,1711447528942000000,1711447588939000000,15
FilePageCacheLockFree.totalNativeBytesAllocated,1711447528942000000,1711447588939000000,40960
FilePageCacheLockFree.totalBytesRequested,1711447528942000000,1711447588939000000,13713408
FilePageCache.pageLoadsAboveSizeThreshold,1711447528942000000,1711447588939000000,0
StreamlinedBlobStorage.recordsRelocated,1711447528942000000,1711447588939000000,0
FilePageCacheLockFree.nativeBytesInUse,1711447528942000000,1711447588939000000,131072
StorageLockContext.competingThreads.max,1711447528942000000,1711447588939000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1711447528942000000,1711447588939000000,137551872
FilePageCacheLockFree.totalNativeBytesReclaimed,1711447528942000000,1711447588939000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1711447528942000000,1711447588939000000,0
FilePageCache.capacityInBytes,1711447528942000000,1711447588939000000,503316478
StorageLockContext.competingThreads.90P,1711447528942000000,1711447588939000000,0
DirectByteBufferAllocator.hits,1711447528942000000,1711447588939000000,0
MappedFileStorage.storages,1711447528942000000,1711447588939000000,16
FilePageCache.maxCacheSizeInBytes,1711447528942000000,1711447588939000000,137420800
StreamlinedBlobStorage.recordsDeleted,1711447528942000000,1711447588939000000,0
DirectByteBufferAllocator.disposed,1711447528942000000,1711447588939000000,0
FilePageCacheLockFree.totalPagesAllocated,1711447528942000000,1711447588939000000,5
DirectByteBufferAllocator.misses,1711447528942000000,1711447588939000000,20
FilePageCacheLockFree.totalBytesWritten,1711447528942000000,1711447588939000000,11249
FilePageCache.totalPageDisposalsUs,1711447528942000000,1711447588939000000,66
FilePageCacheLockFree.housekeeperTurnsDone,1711447528942000000,1711447588939000000,120
StorageLockContext.competingThreads.avg,1711447528942000000,1711447588939000000,0.0
