# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collections,1711441778610000000,1711441838640000000,18
JVM.threadCount,1711441778610000000,1711441838640000000,128
JVM.maxHeapBytes,1711441778610000000,1711441838640000000,2147483648
JVM.maxNativeBytes,1711441778610000000,1711441838640000000,-1
JVM.usedHeapBytes,1711441778610000000,1711441838640000000,352842248
JVM.totalBytesAllocated,1711441778610000000,1711441838640000000,2121666520
JVM.usedNativeBytes,1711441778610000000,1711441838640000000,304207152
OS.loadAverage,1711441778610000000,1711441838640000000,3.4208984375
JVM.totalCpuTimeMs,1711441778610000000,1711441838640000000,115360
JVM.GC.collectionTimesMs,1711441778610000000,1711441838640000000,446
NonBlockingReadAction.failedExecutionTimeUs,1711441778610000000,1711441838640000000,0
AWTEventQueue.eventsDispatched,1711441778610000000,1711441838640000000,0
FlushQueue.executionTime90PNs,1711441778610000000,1711441838640000000,0
FlushQueue.waitingTime90PNs,1711441778610000000,1711441838640000000,0
FlushQueue.waitingTimeAvgNs,1711441778610000000,1711441838640000000,0.0
AWTEventQueue.dispatchTime90PNs,1711441778610000000,1711441838640000000,0
FlushQueue.executionTimeAvgNs,1711441778610000000,1711441838640000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1711441778610000000,1711441838640000000,11302566378
AWTEventQueue.dispatchTimeAvgNs,1711441778610000000,1711441838640000000,0.0
FlushQueue.queueSizeMax,1711441778610000000,1711441838640000000,0
NonBlockingReadAction.failedExecutionsCount,1711441778610000000,1711441838640000000,0
FlushQueue.waitingTimeMaxNs,1711441778610000000,1711441838640000000,0
ReadAction.executionsCount,1711441778610000000,1711441838640000000,67475
FlushQueue.tasksExecuted,1711441778610000000,1711441838640000000,0
NonBlockingReadAction.finalizedExecutionsCount,1711441778610000000,1711441838640000000,30
FlushQueue.executionTimeMaxNs,1711441778610000000,1711441838640000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1711441778610000000,1711441838640000000,2668749
FlushQueue.queueSize90P,1711441778610000000,1711441838640000000,0
AWTEventQueue.dispatchTimeMaxNs,1711441778610000000,1711441838640000000,0
FlushQueue.queueSizeAvg,1711441778610000000,1711441838640000000,0.0
WriteAction.executionsCount,1711441778610000000,1711441838640000000,8
workspaceModel.initializing.ms,1711441778610000000,1711441838640000000,2
workspaceModel.pre.handlers.ms,1711441778610000000,1711441838640000000,1
workspaceModel.updates.precise.ms,1711441778610000000,1711441838640000000,53
workspaceModel.updates.count,1711441778610000000,1711441838640000000,3
workspaceModel.loading.from.cache.ms,1711441778610000000,1711441838640000000,399
workspaceModel.check.recursive.update.ms,1711441778610000000,1711441838640000000,0
workspaceModel.to.snapshot.ms,1711441778610000000,1711441838640000000,2
workspaceModel.collect.changes.ms,1711441778610000000,1711441838640000000,0
workspaceModel.loading.total.ms,1711441778610000000,1711441838640000000,439
workspaceModel.update.unloaded.entities.ms,1711441778610000000,1711441838640000000,0
workspaceModel.init.bridges.ms,1711441778610000000,1711441838640000000,2
workspaceModel.replace.project.model.ms,1711441778610000000,1711441838640000000,0
workspaceModel.updates.ms,1711441778610000000,1711441838640000000,122
FilePageCacheLockFree.totalPagesAllocated,1711441778610000000,1711441838640000000,40
FilePageCacheLockFree.totalPagesRequestsMs,1711441778610000000,1711441838640000000,89
FileChannelInterruptsRetryer.totalRetriedAttempts,1711441778610000000,1711441838640000000,0
FilePageCacheLockFree.totalPagesReclaimed,1711441778610000000,1711441838640000000,0
DirectByteBufferAllocator.reclaimed,1711441778610000000,1711441838640000000,3
FilePageCacheLockFree.totalNativeBytesAllocated,1711441778610000000,1711441838640000000,327680
FilePageCacheLockFree.totalHeapBytesReclaimed,1711441778610000000,1711441838640000000,0
FilePageCacheLockFree.totalPagesHandedOver,1711441778610000000,1711441838640000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1711441778610000000,1711441838640000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1711441778610000000,1711441838640000000,52286
MappedFileStorage.totalPagesMapped,1711441778610000000,1711441838640000000,16
FilePageCacheLockFree.totalPageAllocationsWaited,1711441778610000000,1711441838640000000,0
DirectByteBufferAllocator.misses,1711441778610000000,1711441838640000000,176
FilePageCacheLockFree.totalBytesWritten,1711441778610000000,1711441838640000000,0
FilePageCache.maxRegisteredFiles,1711441778610000000,1711441838640000000,255
StorageLockContext.competingThreads.90P,1711441778610000000,1711441838640000000,0
FilePageCache.maxCacheSizeInBytes,1711441778610000000,1711441838640000000,136364032
FilePageCacheLockFree.totalHeapBytesAllocated,1711441778610000000,1711441838640000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1711441778610000000,1711441838640000000,3878887
StorageLockContext.competingThreads.avg,1711441778610000000,1711441838640000000,0.0
StreamlinedBlobStorage.recordsDeleted,1711441778610000000,1711441838640000000,29
FilePageCacheLockFree.totalPagesReadMs,1711441778610000000,1711441838640000000,74
FilePageCache.totalPageDisposalsUs,1711441778610000000,1711441838640000000,992
FilePageCacheLockFree.heapBytesInUse,1711441778610000000,1711441838640000000,0
MappedFileStorage.storages,1711441778610000000,1711441838640000000,16
FilePageCache.pageHits,1711441778610000000,1711441838640000000,1
FilePageCache.disposedBuffers,1711441778610000000,1711441838640000000,3
FilePageCacheLockFree.housekeeperTimeSpentMs,1711441778610000000,1711441838640000000,543
FilePageCacheLockFree.totalBytesRead,1711441778610000000,1711441838640000000,321820
FilePageCacheLockFree.housekeeperTurnsDone,1711441778610000000,1711441838640000000,119
FilePageCache.totalPageLoadsUs,1711441778610000000,1711441838640000000,935605
FilePageCacheLockFree.totalPagesRequested,1711441778610000000,1711441838640000000,329
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1711441778610000000,1711441838640000000,136691712
StorageLockContext.competingThreads.max,1711441778610000000,1711441838640000000,0
FilePageCache.pageLoads,1711441778610000000,1711441838640000000,139
FilePageCache.pageLoadsAboveSizeThreshold,1711441778610000000,1711441838640000000,0
FilePageCacheLockFree.totalBytesRequested,1711441778610000000,1711441838640000000,2695168
DirectByteBufferAllocator.hits,1711441778610000000,1711441838640000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1711441778610000000,1711441838640000000,1240549
MappedFileStorage.totalBytesMapped,1711441778610000000,1711441838640000000,136577024
FilePageCache.capacityInBytes,1711441778610000000,1711441838640000000,503316478
StreamlinedBlobStorage.recordsRelocated,1711441778610000000,1711441838640000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1711441778610000000,1711441838640000000,2899
FilePageCache.uncachedFileAccess,1711441778610000000,1711441838640000000,90
DirectByteBufferAllocator.disposed,1711441778610000000,1711441838640000000,0
FilePageCacheLockFree.totalPagesWriteMs,1711441778610000000,1711441838640000000,0
StreamlinedBlobStorage.recordsAllocated,1711441778610000000,1711441838640000000,55270
