# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
OS.loadAverage,1712643658696000000,1712643718724000000,4.20654296875
JVM.maxNativeBytes,1712643658696000000,1712643718724000000,-1
JVM.totalCpuTimeMs,1712643658696000000,1712643718724000000,89570
JVM.maxHeapBytes,1712643658696000000,1712643718724000000,2147483648
JVM.totalBytesAllocated,1712643658696000000,1712643718724000000,2082248576
JVM.GC.collectionTimesMs,1712643658696000000,1712643718724000000,308
JVM.GC.collections,1712643658696000000,1712643718724000000,21
JVM.threadCount,1712643658696000000,1712643718724000000,124
JVM.usedNativeBytes,1712643658696000000,1712643718724000000,321412680
JVM.usedHeapBytes,1712643658696000000,1712643718724000000,379584512
workspaceModel.check.recursive.update.ms,1712643658696000000,1712643718724000000,1
workspaceModel.update.unloaded.entities.ms,1712643658696000000,1712643718724000000,0
workspaceModel.to.snapshot.ms,1712643658696000000,1712643718724000000,1
workspaceModel.updates.precise.ms,1712643658696000000,1712643718724000000,29
workspaceModel.collect.changes.ms,1712643658696000000,1712643718724000000,0
workspaceModel.pre.handlers.ms,1712643658696000000,1712643718724000000,0
workspaceModel.updates.ms,1712643658696000000,1712643718724000000,65
workspaceModel.init.bridges.ms,1712643658696000000,1712643718724000000,1
workspaceModel.updates.count,1712643658696000000,1712643718724000000,3
workspaceModel.loading.from.cache.ms,1712643658696000000,1712643718724000000,1666
workspaceModel.loading.total.ms,1712643658696000000,1712643718724000000,1780
workspaceModel.replace.project.model.ms,1712643658696000000,1712643718724000000,0
workspaceModel.initializing.ms,1712643658696000000,1712643718724000000,1
FileNameCache.totalMisses,1712643658696000000,1712643718724000000,5675
FileNameCache.queries,1712643658696000000,1712643718724000000,779008
Indexes.entries.lookups,1712643658696000000,1712643718724000000,55.0
IndexesFlusher.totalContentionQuotaSpent,1712643658696000000,1712643718724000000,20
Indexes.allKeys.lookupDurationMaxMs,1712643658696000000,1712643718724000000,0.0
Indexes.stubs.lookups,1712643658696000000,1712643718724000000,0.0
Indexes.stubs.lookupDurationMaxMs,1712643658696000000,1712643718724000000,0.0
Indexes.entries.lookupDurationAvgMs,1712643658696000000,1712643718724000000,97.6
Indexes.stubs.lookupDurationAvgMs,1712643658696000000,1712643718724000000,0.0
Indexes.entries.lookupDuration90PMs,1712643658696000000,1712643718724000000,8.0
Indexes.entries.lookupDurationMaxMs,1712643658696000000,1712643718724000000,5023.0
Indexes.allKeys.lookups,1712643658696000000,1712643718724000000,0.0
Indexes.stubs.lookupDuration90PMs,1712643658696000000,1712643718724000000,0.0
IndexesFlusher.totalFlushesRetried,1712643658696000000,1712643718724000000,1
Indexes.allKeys.lookupDuration90PMs,1712643658696000000,1712643718724000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1712643658696000000,1712643718724000000,0.0
IndexesFlusher.totalFlushingTimeUs,1712643658696000000,1712643718724000000,5074766
IndexesFlusher.totalFlushes,1712643658696000000,1712643718724000000,65
FilePageCacheLockFree.totalBytesRequested,1712643658696000000,1712643718724000000,1900544
MappedFileStorage.totalPagesMapped,1712643658696000000,1712643718724000000,11
FilePageCacheLockFree.heapBytesInUse,1712643658696000000,1712643718724000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1712643658696000000,1712643718724000000,3880777
FilePageCache.totalPageLoadsUs,1712643658696000000,1712643718724000000,1751929
FilePageCache.maxRegisteredFiles,1712643658696000000,1712643718724000000,255
FilePageCacheLockFree.totalBytesWritten,1712643658696000000,1712643718724000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1712643658696000000,1712643718724000000,0
FilePageCache.maxCacheSizeInBytes,1712643658696000000,1712643718724000000,122740736
MappedFileStorage.totalBytesMapped,1712643658696000000,1712643718724000000,115605504
DirectByteBufferAllocator.reclaimed,1712643658696000000,1712643718724000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1712643658696000000,1712643718724000000,123027456
FilePageCacheLockFree.totalPagesReclaimed,1712643658696000000,1712643718724000000,0
FilePageCacheLockFree.nativeBytesInUse,1712643658696000000,1712643718724000000,286720
FilePageCache.pageLoadsAboveSizeThreshold,1712643658696000000,1712643718724000000,0
StorageLockContext.competingThreads.max,1712643658696000000,1712643718724000000,3
StreamlinedBlobStorage.recordsAllocated,1712643658696000000,1712643718724000000,55297
FilePageCacheLockFree.totalPageAllocationsWaited,1712643658696000000,1712643718724000000,0
FilePageCacheLockFree.totalPagesRequested,1712643658696000000,1712643718724000000,232
DirectByteBufferAllocator.misses,1712643658696000000,1712643718724000000,159
FilePageCacheLockFree.totalPagesWriteMs,1712643658696000000,1712643718724000000,0
